data_type,study_name_common,study_name_rare,trait_common,trait_rare
protein,UKB-PPP-european-IFNGR2:P38484:OID20941:v1,ukb-wes-az-00012385,UKB-PPP european IFNGR2,IFNGR2 P38484 OID20941 v1 Neurology
protein,UKB-PPP-european-GART:P22102:OID31004:v1,ukb-wes-az-00012146,UKB-PPP european GART,GART P22102 OID31004 v1 NeurologyII
protein,UKB-PPP-european-CRYZL1:O95825:OID30272:v1,ukb-wes-az-00014612,UKB-PPP european CRYZL1,CRYZL1 O95825 OID30272 v1 CardiometabolicII
protein,UKB-PPP-european-ATP5PO:P48047:OID20811:v1,ukb-wes-az-00013244,UKB-PPP european ATP5PO,ATP5PO P48047 OID20811 v1 Neurology
protein,UKB-PPP-european-MORC3:Q14149:OID31073:v1,ukb-wes-az-00012851,UKB-PPP european MORC3,MORC3 Q14149 OID31073 v1 NeurologyII
protein,UKB-PPP-european-DSCAM:O60469:OID30993:v1,ukb-wes-az-00014796,UKB-PPP european DSCAM,DSCAM O60469 OID30993 v1 NeurologyII
protein,UKB-PPP-european-FAM3B:P58499:OID21372:v1,ukb-wes-az-00012017,UKB-PPP european FAM3B,FAM3B P58499 OID21372 v1 Oncology
protein,UKB-PPP-european-RIPK4:P57078:OID30138:v1,ukb-wes-az-00013453,UKB-PPP european RIPK4,RIPK4 P57078 OID30138 v1 CardiometabolicII
protein,UKB-PPP-european-TFF3:Q07654:OID20371:v1,ukb-wes-az-00013863,UKB-PPP european TFF3,TFF3 Q07654 OID20371 v1 Cardiometabolic
protein,UKB-PPP-european-TFF2:Q03403:OID20787:v1,ukb-wes-az-00013862,UKB-PPP european TFF2,TFF2 Q03403 OID20787 v1 Inflammation
protein,UKB-PPP-european-TFF1:P04155:OID21154:v1,ukb-wes-az-00013861,UKB-PPP european TFF1,TFF1 P04155 OID21154 v1 Neurology
protein,UKB-PPP-european-CBS:P35520:OID30200:v1,ukb-wes-az-00014254,UKB-PPP european CBS,CBS P35520 OID30200 v1 CardiometabolicII
protein,UKB-PPP-european-CSTB:P04080:OID20294:v1,ukb-wes-az-00014635,UKB-PPP european CSTB,CSTB P04080 OID20294 v1 Cardiometabolic
protein,UKB-PPP-european-GATD3:P0DPI2:OID30253:v1,ukb-wes-az-00012153,UKB-PPP european GATD3,GATD3 P0DPI2 OID30253 v1 CardiometabolicII
protein,UKB-PPP-european-ICOSLG:O75144:OID21351:v1,ukb-wes-az-00012368,UKB-PPP european ICOSLG,ICOSLG O75144 OID21351 v1 Oncology
protein,UKB-PPP-european-ITGB2:P05107:OID20315:v1,ukb-wes-az-00012531,UKB-PPP european ITGB2,ITGB2 P05107 OID20315 v1 Cardiometabolic
protein,UKB-PPP-european-COL18A1:P39060:OID20332:v1,ukb-wes-az-00014539,UKB-PPP european COL18A1,COL18A1 P39060 OID20332 v1 Cardiometabolic
protein,UKB-PPP-european-FTCD:O95954:OID31137:v1,ukb-wes-az-00012114,UKB-PPP european FTCD,FTCD O95954 OID31137 v1 NeurologyII
protein,UKB-PPP-european-IL17RA:Q96F46:OID21089:v1,ukb-wes-az-00012436,UKB-PPP european IL17RA,IL17RA Q96F46 OID21089 v1 Neurology
protein,UKB-PPP-european-ADA2:Q9NZK5:OID20394:v1,ukb-wes-az-00014208,UKB-PPP european ADA2,ADA2 Q9NZK5 OID20394 v1 Cardiometabolic
protein,UKB-PPP-european-BID:P55957:OID20517:v1,ukb-wes-az-00013814,UKB-PPP european BID,BID P55957 OID20517 v1 Inflammation
protein,UKB-PPP-european-DGCR6:Q14129:OID30859:v1,ukb-wes-az-00014738,UKB-PPP european DGCR6,DGCR6 Q14129 OID30859 v1 NeurologyII
protein,UKB-PPP-european-UFD1:Q92890:OID31486:v1,ukb-wes-az-00014052,UKB-PPP european UFD1,UFD1 Q92890 OID31486 v1 OncologyII
protein,UKB-PPP-european-GP1BB:P13224:OID30174:v1,ukb-wes-az-00012232,UKB-PPP european GP1BB,GP1BB P13224 OID30174 v1 CardiometabolicII
protein,UKB-PPP-european-COMT:P21964:OID20086:v1,ukb-wes-az-00014557,UKB-PPP european COMT,COMT P21964 OID20086 v1 Cardiometabolic
protein,UKB-PPP-european-RANBP1:P43487:OID30258:v1,ukb-wes-az-00013398,UKB-PPP european RANBP1,RANBP1 P43487 OID30258 v1 CardiometabolicII
protein,UKB-PPP-european-RTN4R:Q9BZR6:OID21424:v1,ukb-wes-az-00013494,UKB-PPP european RTN4R,RTN4R Q9BZR6 OID21424 v1 Oncology
protein,UKB-PPP-european-SCARF2:Q96GP6:OID21048:v1,ukb-wes-az-00013526,UKB-PPP european SCARF2,SCARF2 Q96GP6 OID21048 v1 Neurology
protein,UKB-PPP-european-SERPIND1:P05546:OID30767:v1,ukb-wes-az-00013594,UKB-PPP european SERPIND1,SERPIND1 P05546 OID30767 v1 InflammationII
protein,UKB-PPP-european-SNAP29:O95721:OID21506:v1,ukb-wes-az-00013701,UKB-PPP european SNAP29,SNAP29 O95721 OID21506 v1 Oncology
protein,UKB-PPP-european-CRKL:P46109:OID20742:v1,ukb-wes-az-00014600,UKB-PPP european CRKL,CRKL P46109 OID20742 v1 Inflammation
protein,UKB-PPP-european-PPM1F:P49593:OID30350:v1,ukb-wes-az-00013260,UKB-PPP european PPM1F,PPM1F P49593 OID30350 v1 CardiometabolicII
protein,UKB-PPP-european-PRAME:P78395:OID31165:v1,ukb-wes-az-00013275,UKB-PPP european PRAME,PRAME P78395 OID31165 v1 OncologyII
protein,UKB-PPP-european-IGLC2:P0DOY2:OID30740:v1,ukb-wes-az-00012408,UKB-PPP european IGLC2,IGLC2 P0DOY2 OID30740 v1 InflammationII
protein,UKB-PPP-european-BCR:P11274:OID20558:v1,ukb-wes-az-00013725,UKB-PPP european BCR,BCR P11274 OID20558 v1 Inflammation
protein,UKB-PPP-european-CHCHD10:Q8WYQ3:OID31116:v1,ukb-wes-az-00014457,UKB-PPP european CHCHD10,CHCHD10 Q8WYQ3 OID31116 v1 NeurologyII
protein,UKB-PPP-european-MIF:P14174:OID21073:v1,ukb-wes-az-00012825,UKB-PPP european MIF,MIF P14174 OID21073 v1 Neurology
protein,UKB-PPP-european-GSTT2B:P0CG30:OID31097:v1,ukb-wes-az-00012271,UKB-PPP european GSTT2B,GSTT2B P0CG30 OID31097 v1 NeurologyII
protein,UKB-PPP-european-DDT:P30046:OID30372:v1,ukb-wes-az-00014718,UKB-PPP european DDT,DDT P30046 OID30372 v1 CardiometabolicII
protein,UKB-PPP-european-SUSD2:Q9UGT4:OID21098:v1,ukb-wes-az-00013807,UKB-PPP european SUSD2,SUSD2 Q9UGT4 OID21098 v1 Neurology
protein,UKB-PPP-european-GGT5:P36269:OID20909:v1,ukb-wes-az-00012184,UKB-PPP european GGT5,GGT5 P36269 OID20909 v1 Neurology
protein,UKB-PPP-european-UPB1:Q9UBR1:OID30352:v1,ukb-wes-az-00014060,UKB-PPP european UPB1,UPB1 Q9UBR1 OID30352 v1 CardiometabolicII
protein,UKB-PPP-european-GGT1:P19440:OID21075:v1,ukb-wes-az-00012183,UKB-PPP european GGT1,GGT1 P19440 OID21075 v1 Neurology
protein,UKB-PPP-european-CRYBB2:P43320:OID31081:v1,ukb-wes-az-00014609,UKB-PPP european CRYBB2,CRYBB2 P43320 OID31081 v1 NeurologyII
protein,UKB-PPP-european-SEZ6L:Q9BYH1:OID21488:v1,ukb-wes-az-00013607,UKB-PPP european SEZ6L,SEZ6L Q9BYH1 OID21488 v1 Oncology
protein,UKB-PPP-european-CRYBB1:P53674:OID30319:v1,ukb-wes-az-00014608,UKB-PPP european CRYBB1,CRYBB1 P53674 OID30319 v1 CardiometabolicII
protein,UKB-PPP-european-MN1:Q10571:OID30908:v1,ukb-wes-az-00012846,UKB-PPP european MN1,MN1 Q10571 OID30908 v1 NeurologyII
protein,UKB-PPP-european-CHEK2:O96017:OID20054:v1,ukb-wes-az-00014459,UKB-PPP european CHEK2,CHEK2 O96017 OID20054 v1 Cardiometabolic
protein,UKB-PPP-european-LIF:P15018:OID20824:v1,ukb-wes-az-00012669,UKB-PPP european LIF,LIF P15018 OID20824 v1 Neurology
protein,UKB-PPP-european-OSM:P13725:OID20574:v1,ukb-wes-az-00013075,UKB-PPP european OSM,OSM P13725 OID20574 v1 Inflammation
protein,UKB-PPP-european-TCN2:P20062:OID20341:v1,ukb-wes-az-00013843,UKB-PPP european TCN2,TCN2 P20062 OID20341 v1 Cardiometabolic
protein,UKB-PPP-european-SMTN:P53814:OID31154:v1,ukb-wes-az-00013698,UKB-PPP european SMTN,SMTN P53814 OID31154 v1 NeurologyII
protein,UKB-PPP-european-INPP5J:Q15735:OID30975:v1,ukb-wes-az-00012502,UKB-PPP european INPP5J,INPP5J Q15735 OID30975 v1 NeurologyII
protein,UKB-PPP-european-PIK3IP1:Q96FE7:OID21094:v1,ukb-wes-az-00013190,UKB-PPP european PIK3IP1,PIK3IP1 Q96FE7 OID21094 v1 Neurology
protein,UKB-PPP-european-TIMP3:P35625:OID20684:v1,ukb-wes-az-00013899,UKB-PPP european TIMP3,TIMP3 P35625 OID20684 v1 Inflammation
protein,UKB-PPP-european-HMOX1:P09601:OID20217:v1,ukb-wes-az-00012326,UKB-PPP european HMOX1,HMOX1 P09601 OID20217 v1 Cardiometabolic
protein,UKB-PPP-european-MB:P02144:OID20263:v1,ukb-wes-az-00012782,UKB-PPP european MB,MB P02144 OID20263 v1 Cardiometabolic
protein,UKB-PPP-european-APOL1:O14791:OID30708:v1,ukb-wes-az-00012663,UKB-PPP european APOL1,APOL1 O14791 OID30708 v1 InflammationII
protein,UKB-PPP-european-MYH9:P35579:OID30382:v1,ukb-wes-az-00012901,UKB-PPP european MYH9,MYH9 P35579 OID30382 v1 CardiometabolicII
protein,UKB-PPP-european-PVALB:P20472:OID21420:v1,ukb-wes-az-00013366,UKB-PPP european PVALB,PVALB P20472 OID21420 v1 Oncology
protein,UKB-PPP-european-CSF2RB:P32927:OID30553:v1,ukb-wes-az-00014620,UKB-PPP european CSF2RB,CSF2RB P32927 OID30553 v1 InflammationII
protein,UKB-PPP-european-TEX33:O43247:OID31280:v1,ukb-wes-az-00013857,UKB-PPP european TEX33,TEX33 O43247 OID31280 v1 OncologyII
protein,UKB-PPP-european-TST:Q16762:OID20868:v1,ukb-wes-az-00014025,UKB-PPP european TST,TST Q16762 OID20868 v1 Neurology
protein,UKB-PPP-european-IL2RB:P14784:OID20450:v1,ukb-wes-az-00012465,UKB-PPP european IL2RB,IL2RB P14784 OID20450 v1 Inflammation
protein,UKB-PPP-european-C1QTNF6:Q9BXI9:OID31049:v1,ukb-wes-az-00014182,UKB-PPP european C1QTNF6,C1QTNF6 Q9BXI9 OID31049 v1 NeurologyII
protein,UKB-PPP-european-GGA1:Q9UJY5:OID20838:v1,ukb-wes-az-00012178,UKB-PPP european GGA1,GGA1 Q9UJY5 OID20838 v1 Neurology
protein,UKB-PPP-european-SH3BP1:Q9Y3L3:OID31439:v1,ukb-wes-az-00013620,UKB-PPP european SH3BP1,SH3BP1 Q9Y3L3 OID31439 v1 OncologyII
protein,UKB-PPP-european-LGALS1:P09382:OID20154:v1,ukb-wes-az-00012658,UKB-PPP european LGALS1,LGALS1 P09382 OID20154 v1 Cardiometabolic
protein,UKB-PPP-european-ANKRD54:Q6NXT1:OID21162:v1,ukb-wes-az-00012324,UKB-PPP european ANKRD54,ANKRD54 Q6NXT1 OID21162 v1 Oncology
protein,UKB-PPP-european-POLR2F:P61218:OID21283:v1,ukb-wes-az-00013243,UKB-PPP european POLR2F,POLR2F P61218 OID21283 v1 Oncology
protein,UKB-PPP-european-NPTXR:O95502:OID20191:v1,ukb-wes-az-00013017,UKB-PPP european NPTXR,NPTXR O95502 OID20191 v1 Cardiometabolic
protein,UKB-PPP-european-PDGFB:P01127:OID20741:v1,ukb-wes-az-00013140,UKB-PPP european PDGFB,PDGFB P01127 OID20741 v1 Inflammation
protein,UKB-PPP-european-ATF4:P18848:OID31162:v1,ukb-wes-az-00013121,UKB-PPP european ATF4,ATF4 P18848 OID31162 v1 OncologyII
protein,UKB-PPP-european-GRAP2:O75791:OID20192:v1,ukb-wes-az-00012253,UKB-PPP european GRAP2,GRAP2 O75791 OID20192 v1 Cardiometabolic
protein,UKB-PPP-european-ST13:P50502:OID30624:v1,ukb-wes-az-00013766,UKB-PPP european ST13,ST13 P50502 OID30624 v1 InflammationII
protein,UKB-PPP-european-EP300:Q09472:OID30438:v1,ukb-wes-az-00014889,UKB-PPP european EP300,EP300 Q09472 OID30438 v1 InflammationII
protein,UKB-PPP-european-RANGAP1:P46060:OID21203:v1,ukb-wes-az-00013401,UKB-PPP european RANGAP1,RANGAP1 P46060 OID21203 v1 Oncology
protein,UKB-PPP-european-TEF:Q10587:OID30103:v1,ukb-wes-az-00013852,UKB-PPP european TEF,TEF Q10587 OID30103 v1 CardiometabolicII
protein,UKB-PPP-european-SNU13:P55769:OID30052:v1,ukb-wes-az-00013708,UKB-PPP european SNU13,SNU13 P55769 OID30052 v1 CardiometabolicII
protein,UKB-PPP-european-CCDC134:Q9H6E4:OID31413:v1,ukb-wes-az-00014258,UKB-PPP european CCDC134,CCDC134 Q9H6E4 OID31413 v1 OncologyII
protein,UKB-PPP-european-TNFRSF13C:Q96RJ3:OID20480:v1,ukb-wes-az-00013943,UKB-PPP european TNFRSF13C,TNFRSF13C Q96RJ3 OID20480 v1 Inflammation
protein,UKB-PPP-european-SEPTIN3:Q9UH03:OID31025:v1,ukb-wes-az-00013572,UKB-PPP european SEPTIN3,SEPTIN3 Q9UH03 OID31025 v1 NeurologyII
protein,UKB-PPP-european-NAGA:P17050:OID30509:v1,ukb-wes-az-00012923,UKB-PPP european NAGA,NAGA P17050 OID30509 v1 InflammationII
protein,UKB-PPP-european-PRR5:P85299:OID30457:v1,ukb-wes-az-00013306,UKB-PPP european PRR5,PRR5 P85299 OID30457 v1 InflammationII
protein,UKB-PPP-european-NUP50:Q9UKX7:OID30100:v1,ukb-wes-az-00013050,UKB-PPP european NUP50,NUP50 Q9UKX7 OID30100 v1 CardiometabolicII
protein,UKB-PPP-european-UPK3A:O75631:OID30794:v1,ukb-wes-az-00014062,UKB-PPP european UPK3A,UPK3A O75631 OID30794 v1 NeurologyII
protein,UKB-PPP-european-ATXN10:Q9UBB4:OID20865:v1,ukb-wes-az-00013333,UKB-PPP european ATXN10,ATXN10 Q9UBB4 OID20865 v1 Neurology
protein,UKB-PPP-european-TAFA5:Q7Z5A7:OID21321:v1,ukb-wes-az-00013821,UKB-PPP european TAFA5,TAFA5 Q7Z5A7 OID21321 v1 Oncology
protein,UKB-PPP-european-BRD1:O95696:OID31259:v1,ukb-wes-az-00014050,UKB-PPP european BRD1,BRD1 O95696 OID31259 v1 OncologyII
protein,UKB-PPP-european-CRELD2:Q6UXH1:OID20751:v1,ukb-wes-az-00014591,UKB-PPP european CRELD2,CRELD2 Q6UXH1 OID20751 v1 Inflammation
protein,UKB-PPP-european-PLXNB2:O15031:OID20317:v1,ukb-wes-az-00013225,UKB-PPP european PLXNB2,PLXNB2 O15031 OID20317 v1 Cardiometabolic
protein,UKB-PPP-european-TYMP:P19971:OID20234:v1,ukb-wes-az-00014042,UKB-PPP european TYMP,TYMP P19971 OID20234 v1 Cardiometabolic
protein,UKB-PPP-european-ARSA:P15289:OID21138:v1,ukb-wes-az-00012966,UKB-PPP european ARSA,ARSA P15289 OID21138 v1 Neurology
protein,UKB-PPP-european-CSF2RA:P15509:OID20915:v1,ukb-wes-az-00014617,UKB-PPP european CSF2RA,CSF2RA P15509 OID20915 v1 Neurology
protein,UKB-PPP-european-IL3RA:P26951:OID20461:v1,ukb-wes-az-00012476,UKB-PPP european IL3RA,IL3RA P26951 OID20461 v1 Inflammation
protein,UKB-PPP-european-CD99:P14209:OID21110:v1,ukb-wes-az-00014367,UKB-PPP european CD99,CD99 P14209 OID21110 v1 Neurology
protein,UKB-PPP-european-XG:P55808:OID20259:v1,ukb-wes-az-00014136,UKB-PPP european XG,XG P55808 OID20259 v1 Cardiometabolic
protein,UKB-PPP-european-TBL1X:O60907:OID21220:v1,ukb-wes-az-00013838,UKB-PPP european TBL1X,TBL1X O60907 OID21220 v1 Oncology
protein,UKB-PPP-european-OFD1:O75665:OID31268:v1,ukb-wes-az-00013058,UKB-PPP european OFD1,OFD1 O75665 OID31268 v1 OncologyII
protein,UKB-PPP-european-VEGFD:O43915:OID20662:v1,ukb-wes-az-00014087,UKB-PPP european VEGFD,VEGFD O43915 OID20662 v1 Inflammation
protein,UKB-PPP-european-ACE2:Q9BYF1:OID20105:v1,ukb-wes-az-00012575,UKB-PPP european ACE2,ACE2 Q9BYF1 OID20105 v1 Cardiometabolic
protein,UKB-PPP-european-S100G:P29377:OID31051:v1,ukb-wes-az-00013506,UKB-PPP european S100G,S100G P29377 OID31051 v1 NeurologyII
protein,UKB-PPP-european-SYAP1:Q96A49:OID30636:v1,ukb-wes-az-00013812,UKB-PPP european SYAP1,SYAP1 Q96A49 OID30636 v1 InflammationII
protein,UKB-PPP-european-CDKL5:O76039:OID30796:v1,ukb-wes-az-00014395,UKB-PPP european CDKL5,CDKL5 O76039 OID30796 v1 NeurologyII
protein,UKB-PPP-european-ADGRG2:Q8IZP9:OID20189:v1,ukb-wes-az-00014485,UKB-PPP european ADGRG2,ADGRG2 Q8IZP9 OID20189 v1 Cardiometabolic
protein,UKB-PPP-european-EIF1AX:P47813:OID31125:v1,ukb-wes-az-00014851,UKB-PPP european EIF1AX,EIF1AX P47813 OID31125 v1 NeurologyII
protein,UKB-PPP-european-SMS:P52788:OID30853:v1,ukb-wes-az-00013697,UKB-PPP european SMS,SMS P52788 OID30853 v1 NeurologyII
protein,UKB-PPP-european-DDX53:Q86TM3:OID30944:v1,ukb-wes-az-00014724,UKB-PPP european DDX53,DDX53 Q86TM3 OID30944 v1 NeurologyII
protein,UKB-PPP-european-SAT1:P21673:OID30111:v1,ukb-wes-az-00013516,UKB-PPP european SAT1,SAT1 P21673 OID30111 v1 CardiometabolicII
protein,UKB-PPP-european-DMD:P11532:OID30223:v1,ukb-wes-az-00014758,UKB-PPP european DMD,DMD P11532 OID30223 v1 CardiometabolicII
protein,UKB-PPP-european-DYNLT3:P51808:OID31415:v1,ukb-wes-az-00014815,UKB-PPP european DYNLT3,DYNLT3 P51808 OID31415 v1 OncologyII
protein,UKB-PPP-european-H2AP:O75409:OID31232:v1,ukb-wes-az-00012283,UKB-PPP european H2AP,H2AP O75409 OID31232 v1 OncologyII
protein,UKB-PPP-european-SRPX:P78539:OID30310:v1,ukb-wes-az-00013759,UKB-PPP european SRPX,SRPX P78539 OID30310 v1 CardiometabolicII
protein,UKB-PPP-european-RPGR:Q92834:OID30959:v1,ukb-wes-az-00013481,UKB-PPP european RPGR,RPGR Q92834 OID30959 v1 NeurologyII
protein,UKB-PPP-european-TSPAN7:P41732:OID30810:v1,ukb-wes-az-00014022,UKB-PPP european TSPAN7,TSPAN7 P41732 OID30810 v1 NeurologyII
protein,UKB-PPP-european-ATP6AP2:O75787:OID21178:v1,ukb-wes-az-00013256,UKB-PPP european ATP6AP2,ATP6AP2 O75787 OID21178 v1 Oncology
protein,UKB-PPP-european-DIPK2B:Q9H7Y0:OID30582:v1,ukb-wes-az-00014747,UKB-PPP european DIPK2B,DIPK2B Q9H7Y0 OID30582 v1 InflammationII
protein,UKB-PPP-european-RP2:O75695:OID21302:v1,ukb-wes-az-00013477,UKB-PPP european RP2,RP2 O75695 OID21302 v1 Oncology
protein,UKB-PPP-european-ARAF:P10398:OID31260:v1,ukb-wes-az-00012722,UKB-PPP european ARAF,ARAF P10398 OID31260 v1 OncologyII
protein,UKB-PPP-european-TIMP1:P01033:OID20418:v1,ukb-wes-az-00013897,UKB-PPP european TIMP1,TIMP1 P01033 OID20418 v1 Cardiometabolic
protein,UKB-PPP-european-CFP:P27918:OID30784:v1,ukb-wes-az-00014449,UKB-PPP european CFP,CFP P27918 OID30784 v1 InflammationII
protein,UKB-PPP-european-SPACA5-SPACA5B:Q96QH8:OID30990:v1,,UKB-PPP european SPACA5,
protein,UKB-PPP-european-WAS:P42768:OID20479:v1,ukb-wes-az-00014120,UKB-PPP european WAS,WAS P42768 OID20479 v1 Inflammation
protein,UKB-PPP-european-PQBP1:O60828:OID21172:v1,ukb-wes-az-00013274,UKB-PPP european PQBP1,PQBP1 O60828 OID21172 v1 Oncology
protein,UKB-PPP-european-GPKOW:Q92917:OID20890:v1,ukb-wes-az-00012245,UKB-PPP european GPKOW,GPKOW Q92917 OID20890 v1 Neurology
protein,UKB-PPP-european-GAGE2A:Q6NT46:OID31199:v1,ukb-wes-az-00012137,UKB-PPP european GAGE2A,GAGE2A Q6NT46 OID31199 v1 OncologyII
protein,UKB-PPP-european-NUDT10:Q8NFP7:OID30198:v1,ukb-wes-az-00013043,UKB-PPP european NUDT10,NUDT10 Q8NFP7 OID30198 v1 CardiometabolicII
protein,UKB-PPP-european-MAGED1:Q9Y5V3:OID21181:v1,ukb-wes-az-00012751,UKB-PPP european MAGED1,MAGED1 Q9Y5V3 OID21181 v1 Oncology
protein,UKB-PPP-european-VSIG4:Q9Y279:OID21144:v1,ukb-wes-az-00014103,UKB-PPP european VSIG4,VSIG4 Q9Y279 OID21144 v1 Neurology
protein,UKB-PPP-european-HEPH:Q9BQS7:OID30337:v1,ukb-wes-az-00012305,UKB-PPP european HEPH,HEPH Q9BQS7 OID30337 v1 CardiometabolicII
protein,UKB-PPP-european-EDA2R:Q9HAV5:OID21451:v1,ukb-wes-az-00014825,UKB-PPP european EDA2R,EDA2R Q9HAV5 OID21451 v1 Oncology
protein,UKB-PPP-european-OPHN1:O60890:OID31087:v1,ukb-wes-az-00013069,UKB-PPP european OPHN1,OPHN1 O60890 OID31087 v1 NeurologyII
protein,UKB-PPP-european-IGBP1:P78318:OID31059:v1,ukb-wes-az-00012391,UKB-PPP european IGBP1,IGBP1 P78318 OID31059 v1 NeurologyII
protein,UKB-PPP-european-IL2RG:P31785:OID31361:v1,ukb-wes-az-00012466,UKB-PPP european IL2RG,IL2RG P31785 OID31361 v1 OncologyII
protein,UKB-PPP-european-ITGB1BP2:Q9UKP3:OID20112:v1,ukb-wes-az-00012529,UKB-PPP european ITGB1BP2,ITGB1BP2 Q9UKP3 OID20112 v1 Cardiometabolic
protein,UKB-PPP-european-OGT:O15294:OID31300:v1,ukb-wes-az-00013062,UKB-PPP european OGT,OGT O15294 OID31300 v1 OncologyII
protein,UKB-PPP-european-HDAC8:Q9BY41:OID30436:v1,ukb-wes-az-00012296,UKB-PPP european HDAC8,HDAC8 Q9BY41 OID30436 v1 InflammationII
protein,UKB-PPP-european-FGF16:O43320:OID30535:v1,ukb-wes-az-00012053,UKB-PPP european FGF16,FGF16 O43320 OID30535 v1 InflammationII
protein,UKB-PPP-european-ITM2A:O43736:OID20504:v1,ukb-wes-az-00012540,UKB-PPP european ITM2A,ITM2A O43736 OID20504 v1 Inflammation
protein,UKB-PPP-european-POF1B:Q8WVV4:OID30504:v1,ukb-wes-az-00013241,UKB-PPP european POF1B,POF1B Q8WVV4 OID30504 v1 InflammationII
protein,UKB-PPP-european-CHM:P24386:OID30972:v1,ukb-wes-az-00014466,UKB-PPP european CHM,CHM P24386 OID30972 v1 NeurologyII
protein,UKB-PPP-european-SYTL4:Q96C24:OID30339:v1,ukb-wes-az-00013816,UKB-PPP european SYTL4,SYTL4 Q96C24 OID30339 v1 CardiometabolicII
protein,UKB-PPP-european-TIMM8A:O60220:OID31143:v1,ukb-wes-az-00013896,UKB-PPP european TIMM8A,TIMM8A O60220 OID31143 v1 NeurologyII
protein,UKB-PPP-european-GLA:P06280:OID30594:v1,ukb-wes-az-00012203,UKB-PPP european GLA,GLA P06280 OID30594 v1 InflammationII
protein,UKB-PPP-european-ARMCX2:Q7L311:OID30792:v1,ukb-wes-az-00012933,UKB-PPP european ARMCX2,ARMCX2 Q7L311 OID30792 v1 NeurologyII
protein,UKB-PPP-european-BEX3:Q00994:OID31202:v1,ukb-wes-az-00013758,UKB-PPP european BEX3,BEX3 Q00994 OID31202 v1 OncologyII
protein,UKB-PPP-european-MORF4L2:Q15014:OID31160:v1,ukb-wes-az-00012853,UKB-PPP european MORF4L2,MORF4L2 Q15014 OID31160 v1 OncologyII
protein,UKB-PPP-european-SERPINA7:P05543:OID30724:v1,ukb-wes-az-00013585,UKB-PPP european SERPINA7,SERPINA7 P05543 OID30724 v1 InflammationII
protein,UKB-PPP-european-ATG4A:Q8WYN0:OID21246:v1,ukb-wes-az-00013145,UKB-PPP european ATG4A,ATG4A Q8WYN0 OID21246 v1 Oncology
protein,UKB-PPP-european-CHRDL1:Q9BU40:OID20771:v1,ukb-wes-az-00014470,UKB-PPP european CHRDL1,CHRDL1 Q9BU40 OID20771 v1 Inflammation
protein,UKB-PPP-european-AMOT:Q4VCS5:OID30572:v1,ukb-wes-az-00012136,UKB-PPP european AMOT,AMOT Q4VCS5 OID30572 v1 InflammationII
protein,UKB-PPP-european-IL13RA2:Q14627:OID30841:v1,ukb-wes-az-00012428,UKB-PPP european IL13RA2,IL13RA2 Q14627 OID30841 v1 NeurologyII
protein,UKB-PPP-european-IL13RA1:P78552:OID21504:v1,ukb-wes-az-00012426,UKB-PPP european IL13RA1,IL13RA1 P78552 OID21504 v1 Oncology
protein,UKB-PPP-european-ATP1B4:Q9UN42:OID31230:v1,ukb-wes-az-00013200,UKB-PPP european ATP1B4,ATP1B4 Q9UN42 OID31230 v1 OncologyII
protein,UKB-PPP-european-LAMP2:P13473:OID21035:v1,ukb-wes-az-00012631,UKB-PPP european LAMP2,LAMP2 P13473 OID21035 v1 Neurology
protein,UKB-PPP-european-MCTS1:Q9ULC4:OID31444:v1,ukb-wes-az-00012789,UKB-PPP european MCTS1,MCTS1 Q9ULC4 OID31444 v1 OncologyII
protein,UKB-PPP-european-C1GALT1C1:Q96EU7:OID30180:v1,ukb-wes-az-00014176,UKB-PPP european C1GALT1C1,C1GALT1C1 Q96EU7 OID30180 v1 CardiometabolicII
protein,UKB-PPP-european-XIAP:P98170:OID30490:v1,ukb-wes-az-00014137,UKB-PPP european XIAP,XIAP P98170 OID30490 v1 InflammationII
protein,UKB-PPP-european-SH2D1A:O60880:OID20514:v1,ukb-wes-az-00013618,UKB-PPP european SH2D1A,SH2D1A O60880 OID20514 v1 Inflammation
protein,UKB-PPP-european-XPNPEP2:O43895:OID21508:v1,ukb-wes-az-00014140,UKB-PPP european XPNPEP2,XPNPEP2 O43895 OID21508 v1 Oncology
protein,UKB-PPP-european-AIFM1:O95831:OID21287:v1,ukb-wes-az-00014788,UKB-PPP european AIFM1,AIFM1 O95831 OID21287 v1 Oncology
protein,UKB-PPP-european-RAB33A:Q14088:OID30122:v1,ukb-wes-az-00013382,UKB-PPP european RAB33A,RAB33A Q14088 OID30122 v1 CardiometabolicII
protein,UKB-PPP-european-ENOX2:Q16206:OID30152:v1,ukb-wes-az-00014876,UKB-PPP european ENOX2,ENOX2 Q16206 OID30152 v1 CardiometabolicII
protein,UKB-PPP-european-FRMD7:Q6ZUT3:OID30898:v1,ukb-wes-az-00012107,UKB-PPP european FRMD7,FRMD7 Q6ZUT3 OID30898 v1 NeurologyII
protein,UKB-PPP-european-HS6ST2:Q96MM7:OID30481:v1,ukb-wes-az-00012342,UKB-PPP european HS6ST2,HS6ST2 Q96MM7 OID30481 v1 InflammationII
protein,UKB-PPP-european-ZNF75D:P51815:OID31303:v1,ukb-wes-az-00014158,UKB-PPP european ZNF75D,ZNF75D P51815 OID31303 v1 OncologyII
protein,UKB-PPP-european-CD40LG:P29965:OID20616:v1,ukb-wes-az-00014342,UKB-PPP european CD40LG,CD40LG P29965 OID20616 v1 Inflammation
