study_name,trait_name,category
ebi-a-GCST90002113,HLA DR on HLA DR+ T cell,blood cell measures
ebi-a-GCST90002114,HLA DR on HLA DR+ CD4+ T cell,blood cell measures
ebi-a-GCST90002115,HLA DR on HLA DR+ CD8+ T cell,blood cell measures
ebi-a-GCST90002116,HLA DR on B cell,blood cell measures
ebi-a-GCST90002117,HLA DR on HLA DR+ Natural Killer,blood cell measures
ebi-a-GCST90002118,CD8 on CD28+ CD45RA- CD8+ T cell,blood cell measures
ebi-a-GCST90002119,CD8 on CD28+ CD45RA+ CD8+ T cell,blood cell measures
ebi-a-GCST90002120,CD8 on CD28- CD8+ T cell,blood cell measures
ebi-a-GCST90002121,CD8 on CD39+ CD8+ T cell,blood cell measures
ebi-a-GCST90002227,Two-hour glucose,clinical measures
ebi-a-GCST90002232,Fasting glucose,clinical measures
ebi-a-GCST90002238,Fasting insulin,clinical measures
ebi-a-GCST90002244,Glycated hemoglobin levels,clinical measures
ebi-a-GCST90002250,Stool frequency,physiological
ebi-a-GCST90002292,Basophil count,blood cell measures
ebi-a-GCST90002298,Eosinophil counts,blood cell measures
ebi-a-GCST90002304,Hematocrit,blood cell measures
ebi-a-GCST90002310,Hemoglobin concentration,blood cell measures
ebi-a-GCST90002316,Lymphocyte count,blood cell measures
ebi-a-GCST90002328,Mean corpuscular hemoglobin concentration,blood cell measures
ebi-a-GCST90002334,Mean corpuscular volume,blood cell measures
ebi-a-GCST90002340,Monocyte count,blood cell measures
ebi-a-GCST90002351,Neutrophil count,blood cell measures
ebi-a-GCST90002363,Red blood cell count,blood cell measures
ebi-a-GCST90002369,Red cell distribution width,blood cell measures
ebi-a-GCST90002374,White blood cell count,blood cell measures
ebi-a-GCST90002380,Basophil percentage of white cells,blood cell measures
ebi-a-GCST90002382,Eosinophil percentage of white cells,blood cell measures
ebi-a-GCST90002384,Hemoglobin,blood cell measures
ebi-a-GCST90002386,High light scatter reticulocyte percentage of red cells,blood cell measures
ebi-a-GCST90002389,Lymphocyte percentage of white cells,blood cell measures
ebi-a-GCST90002394,Monocyte percentage of white cells,blood cell measures
ebi-a-GCST90002397,Mean spheric corpuscular volume,blood cell measures
ebi-a-GCST90002399,Neutrophil percentage of white cells,blood cell measures
ebi-a-GCST90002400,Plateletcrit,blood cell measures
ebi-a-GCST90002406,Reticulocyte fraction of red cells,blood cell measures
ebi-a-GCST90002412,Low density lipoprotein cholesterol levels,clinical measures
ebi-a-GCST90006884,Anti-BK polyomavirus IgG seropositivity,clinical measures
ebi-a-GCST90006885,BK polyomavirus VP1 antibody levels,clinical measures
ebi-a-GCST90006886,Anti-chlamydia trachomatis IgG seropositivity,clinical measures
ebi-a-GCST90006887,Chlamydia trachomatis momp A antibody levels,clinical measures
ebi-a-GCST90006888,Chlamydia trachomatis momp D antibody levels,clinical measures
ebi-a-GCST90006889,Chlamydia trachomatis pGP3 antibody levels,clinical measures
ebi-a-GCST90006890,Chlamydia trachomatis PorB antibody levels,clinical measures
ebi-a-GCST90006891,Chlamydia trachomatis tarp-D F1 antibody levels,clinical measures
ebi-a-GCST90006892,Chlamydia trachomatis tarp-D F2 antibody levels,clinical measures
ebi-a-GCST90006893,Anti-cytomegalovirus IgG seropositivity,clinical measures
ebi-a-GCST90006894,Cytomegalovirus pp28 antibody levels,clinical measures
ebi-a-GCST90006895,Cytomegalovirus pp52 antibody levels,clinical measures
ebi-a-GCST90006896,Cytomegalovirus pp150 antibody levels,clinical measures
ebi-a-GCST90006897,Anti-Epstein-Barr virus IgG seropositivity,clinical measures
ebi-a-GCST90006898,Epstein-Barr virus EA-D antibody levels,clinical measures
ebi-a-GCST90006899,Epstein-Barr virus EBNA-1 antibody levels,clinical measures
ebi-a-GCST90006900,Epstein-Barr virus VCA p18 antibody levels,clinical measures
ebi-a-GCST90006901,Epstein-Barr virus ZEBRA antibody levels,clinical measures
ebi-a-GCST90006902,Anti-human herpes virus 6 IgG seropositivity,clinical measures
ebi-a-GCST90006903,Anti-human herpes virus 6 IE1A IgG seropositivity,clinical measures
ebi-a-GCST90006904,Human herpes virus 6 IE1A antibody levels,clinical measures
ebi-a-GCST90006905,Anti-human herpes virus 6 IE1B IgG seropositivity,clinical measures
ebi-a-GCST90006906,Human herpes virus 6 IE1B antibody levels,clinical measures
ebi-a-GCST90006907,Human herpes virus 6 p101k antibody levels,clinical measures
ebi-a-GCST90006908,Anti-human herpes virus 7 IgG seropositivity,clinical measures
ebi-a-GCST90006909,Human herpes virus 7 U14 antibody levels,clinical measures
ebi-a-GCST90006910,Anti-helicobacter pylori IgG seropositivity,clinical measures
ebi-a-GCST90006911,Helicobacter pylori CagA antibody levels,clinical measures
ebi-a-GCST90006912,Helicobacter pylori Catalase antibody levels,clinical measures
ebi-a-GCST90006913,Helicobacter pylori GroEL antibody levels,clinical measures
ebi-a-GCST90006914,Helicobacter pylori OMP antibody levels,clinical measures
ebi-a-GCST90006915,Helicobacter pylori UREA antibody levels,clinical measures
ebi-a-GCST90006916,Helicobacter pylori VacA antibody levels,clinical measures
ebi-a-GCST90006917,Anti-herpes simplex virus 1 IgG seropositivity,clinical measures
ebi-a-GCST90006918,Herpes simplex virus 1 mgG-1 antibody levels,clinical measures
ebi-a-GCST90006919,Anti-herpes simplex virus 2 IgG seropositivity,clinical measures
ebi-a-GCST90006920,Herpes simplex virus 2 mgG-1 antibody levels,clinical measures
ebi-a-GCST90006921,Anti-polyomavirus 2 IgG seropositivity,clinical measures
ebi-a-GCST90006922,Polyomavirus 2 JC VP1 antibody levels,clinical measures
ebi-a-GCST90006923,Anti-Merkel cell polyomavirus IgG seropositivity,clinical measures
ebi-a-GCST90006924,Merkel cell polyomavirus VP1 antibody levels,clinical measures
ebi-a-GCST90006925,Anti-Toxoplasma gondii IgG seropositivity,clinical measures
ebi-a-GCST90006926,Toxoplasma gondii p22 antibody levels,clinical measures
ebi-a-GCST90006927,Toxoplasma gondii sag1 antibody levels,clinical measures
ebi-a-GCST90006928,Anti-varicella zoster virus IgG seropositivity,clinical measures
ebi-a-GCST90006929,Varicella zoster virus glycoproteins E and I antibody levels,clinical measures
ebi-a-GCST90007526,Low hand grip strength (60 years and older) (EWGSOP),physiological
ebi-a-GCST90007529,Low hand grip strength (60 years and older) (FNIH),physiological
ebi-a-GCST90010102,Angiotensin-converting enzyme 2 levels,clinical measures
ebi-a-GCST90010103,A disintegrin and metalloproteinase with thrombospondin motifs 13 levels,clinical measures
ebi-a-GCST90010105,Protein AMBP levels,clinical measures
ebi-a-GCST90010106,Angiopoietin-1 levels,clinical measures
ebi-a-GCST90010107,Bone morphogenetic protein 6 levels,clinical measures
ebi-a-GCST90010108,Brother of CDO levels,clinical measures
ebi-a-GCST90010109,Carbonic anhydrase 5A mitochondrial levels,clinical measures
ebi-a-GCST90010110,C-C motif chemokine 17 levels,clinical measures
ebi-a-GCST90010112,T-cell surface glycoprotein CD4 levels,clinical measures
ebi-a-GCST90010114,SLAM family member 5 levels,clinical measures
ebi-a-GCST90010115,Carcinoembryonic antigenrelated cell adhesion molecule 8 levels,clinical measures
ebi-a-GCST90010116,Chymotrypsin C levels,clinical measures
ebi-a-GCST90010119,Decorin levels,clinical measures
ebi-a-GCST90010120,"2,4-dienoyl-CoA reductase mitochondrial levels",clinical measures
ebi-a-GCST90010122,Fatty acid-binding protein intestinal levels,clinical measures
ebi-a-GCST90010123,Fibroblast growth factor 21 levels,clinical measures
ebi-a-GCST90010126,Galectin-9 levels,clinical measures
ebi-a-GCST90010127,Growth/differentiation factor 2 levels,clinical measures
ebi-a-GCST90010129,Gastric intrinsic factor levels,clinical measures
ebi-a-GCST90010130,Lactoylglutathione lyase levels,clinical measures
ebi-a-GCST90010131,Gastrotropin levels,clinical measures
ebi-a-GCST90010132,Hydroxyacid oxidase 1 levels,clinical measures
ebi-a-GCST90010134,Heme oxygenase 1 levels,clinical measures
ebi-a-GCST90010135,Osteoclast-associated immunoglobulin-like receptor levels,clinical measures
ebi-a-GCST90010137,Alpha-L-iduronidase levels,clinical measures
ebi-a-GCST90010138,Low affinity immunoglobulin gamma Fc region receptor II-b levels,clinical measures
ebi-a-GCST90010140,Interleukin-17D levels,clinical measures
ebi-a-GCST90010143,Interleukin-1 receptor-like 2 levels,clinical measures
ebi-a-GCST90010145,Interleukin-4 receptor subunit alpha levels,clinical measures
ebi-a-GCST90010147,Kidney Injury Molecule levels,clinical measures
ebi-a-GCST90010148,Leptin levels,clinical measures
ebi-a-GCST90010149,Lipoprotein lipase levels,clinical measures
ebi-a-GCST90010150,Macrophage receptor MARCO levels,clinical measures
ebi-a-GCST90010151,Tyrosine-protein kinase Mer levels,clinical measures
ebi-a-GCST90010157,Poly [ADP-ribose] polymerase 1 levels,clinical measures
ebi-a-GCST90010159,Programmed cell death 1 ligand 2 levels,clinical measures
ebi-a-GCST90010161,Polymeric immunoglobulin receptor levels,clinical measures
ebi-a-GCST90010162,Prolargin levels,clinical measures
ebi-a-GCST90010163,Serine protease 27 levels,clinical measures
ebi-a-GCST90010164,Prostasin levels,clinical measures
ebi-a-GCST90010170,Serpin A12 levels,clinical measures
ebi-a-GCST90010171,SLAM family member 7 levels,clinical measures
ebi-a-GCST90010172,Superoxide dismutase [Mn] mitochondrial levels,clinical measures
ebi-a-GCST90010173,Sortilin levels,clinical measures
ebi-a-GCST90010174,Spondin-2 levels,clinical measures
ebi-a-GCST90010175,Serine/threonine-protein kinase 4 levels,clinical measures
ebi-a-GCST90010177,Protein-glutamine gamma-glutamyltransferase 2 levels,clinical measures
ebi-a-GCST90010178,Thrombospondin-2 levels,clinical measures
ebi-a-GCST90010179,Thrombopoietin levels,clinical measures
ebi-a-GCST90010182,Tumor necrosis factor receptor superfamily member 10A levels,clinical measures
ebi-a-GCST90010183,Tumor necrosis factor receptor superfamily member 11A levels,clinical measures
ebi-a-GCST90010184,Tumor necrosis factor receptor superfamily member 13B levels,clinical measures
ebi-a-GCST90010187,V-set and immunoglobulin domain-containing protein 2 levels,clinical measures
ebi-a-GCST90010188,XCL1 levels,clinical measures
ebi-a-GCST90010189,CD166 antigen levels,clinical measures
ebi-a-GCST90010190,Aminopeptidase N levels,clinical measures
ebi-a-GCST90010191,Tyrosine-protein kinase receptor UFO levels,clinical measures
ebi-a-GCST90010192,Azurocidin levels,clinical measures
ebi-a-GCST90010193,Bleomycin hydrolase levels,clinical measures
ebi-a-GCST90010194,Caspase-3 levels,clinical measures
ebi-a-GCST90010195,C-C motif chemokine 15 levels,clinical measures
ebi-a-GCST90010196,C-C motif chemokine 16 levels,clinical measures
ebi-a-GCST90010197,C-C motif chemokine 24 levels,clinical measures
ebi-a-GCST90010198,Scavenger receptor cysteine-rich type 1 protein M130 levels,clinical measures
ebi-a-GCST90010199,Complement component C1q receptor levels,clinical measures
ebi-a-GCST90010200,Cadherin-5 levels,clinical measures
ebi-a-GCST90010202,Chitotriosidase-1 levels,clinical measures
ebi-a-GCST90010203,Contactin-1 levels,clinical measures
ebi-a-GCST90010204,Collagen alpha-1 (I) chain levels,clinical measures
ebi-a-GCST90010205,Carboxypeptidase A1 levels,clinical measures
ebi-a-GCST90010206,Carboxypeptidase B levels,clinical measures
ebi-a-GCST90010209,Cathepsin Z levels,clinical measures
ebi-a-GCST90010211,Protein delta homolog 1 levels,clinical measures
ebi-a-GCST90010213,epithelial cell adhesion molecule levels,clinical measures
ebi-a-GCST90010214,Ephrin type-B receptor 4 levels,clinical measures
ebi-a-GCST90010218,Galectin-4 levels,clinical measures
ebi-a-GCST90010219,Granulins levels,clinical measures
ebi-a-GCST90010220,Intercellular adhesion molecule 2 levels,clinical measures
ebi-a-GCST90010221,Insulin-like growth factor-binding protein 1 levels,clinical measures
ebi-a-GCST90010222,Insulin-like growth factor-binding protein 2 levels,clinical measures
ebi-a-GCST90010223,Insulin-like growth factor-binding protein 7 levels,clinical measures
ebi-a-GCST90010224,Interleukin-17 receptor A levels,clinical measures
ebi-a-GCST90010225,Interleukin-18-binding protein levels,clinical measures
ebi-a-GCST90010226,Interleukin-1 receptor type 1 levels,clinical measures
ebi-a-GCST90010227,Interleukin-1 receptor type 2 levels,clinical measures
ebi-a-GCST90010228,Interleukin-2 receptor subunit alpha levels,clinical measures
ebi-a-GCST90010230,Integrin beta-2 levels,clinical measures
ebi-a-GCST90010231,Junctional adhesion molecule A levels,clinical measures
ebi-a-GCST90010233,Low-density lipoprotein receptor levels,clinical measures
ebi-a-GCST90010234,Lymphotoxin-beta receptor levels,clinical measures
ebi-a-GCST90010237,Matrix extracellular phosphoglycoprotein levels,clinical measures
ebi-a-GCST90010238,Matrix metalloproteinase-2 levels,clinical measures
ebi-a-GCST90010240,Matrix metalloproteinase-9 levels,clinical measures
ebi-a-GCST90010242,Neurogenic locus notch homolog protein 3 levels,clinical measures
ebi-a-GCST90010244,Osteopontin levels,clinical measures
ebi-a-GCST90010245,Plasminogen activator inhibitor-1 (PAI-1) levels,clinical measures
ebi-a-GCST90010246,Proprotein convertase subtilisin/kexin type 9 levels,clinical measures
ebi-a-GCST90010247,Platelet-derived growth factor subunit A levels,clinical measures
ebi-a-GCST90010249,Peptidoglycan recognition protein 1 levels,clinical measures
ebi-a-GCST90010250,Elafin levels,clinical measures
ebi-a-GCST90010251,Perlecan levels,clinical measures
ebi-a-GCST90010252,Paraoxonase activity,clinical measures
ebi-a-GCST90010253,Myeloblastin levels,clinical measures
ebi-a-GCST90010254,Pulmonary surfactant-associated protein D levels,clinical measures
ebi-a-GCST90010255,Retinoic acid receptor responder protein 2 levels,clinical measures
ebi-a-GCST90010257,Secretoglobin family 3A member 2 levels,clinical measures
ebi-a-GCST90010259,P-selectin levels,clinical measures
ebi-a-GCST90010260,Tyrosine-protein phosphatase non-receptor type substrate 1 levels,clinical measures
ebi-a-GCST90010263,Tissue factor pathway inhibitor levels,clinical measures
ebi-a-GCST90010264,Metalloproteinase inhibitor 4 levels,clinical measures
ebi-a-GCST90010265,Trem-like transcript 2 protein levels,clinical measures
ebi-a-GCST90010268,Tumor necrosis factor receptor superfamily member 10C levels,clinical measures
ebi-a-GCST90010269,Tumor necrosis factor receptor superfamily member 14 levels,clinical measures
ebi-a-GCST90010270,Tumor necrosis factor ligand superfamily member 13B levels,clinical measures
ebi-a-GCST90010272,Transferrin receptor protein 1 levels,clinical measures
ebi-a-GCST90010273,Tartrate-resistant acid phosphatase type 5 levels,clinical measures
ebi-a-GCST90010274,Urokinase-type plasminogen activator levels,clinical measures
ebi-a-GCST90010276,vWF levels,clinical measures
ebi-a-GCST90010277,Lysophosphatidic acid phosphatase type 6 levels,clinical measures
ebi-a-GCST90010278,Adhesion G protein-coupled receptor E2 levels,clinical measures
ebi-a-GCST90010279,Adhesion G-protein coupled receptor G2 levels,clinical measures
ebi-a-GCST90010280,Retinal dehydrogenase 1 levels,clinical measures
ebi-a-GCST90010281,Angiopoietin-2 levels,clinical measures
ebi-a-GCST90010282,Angiopoietin-related protein 1 levels,clinical measures
ebi-a-GCST90010283,Angiopoietin-related protein 7 levels,clinical measures
ebi-a-GCST90010284,DNA-(apurinic or apyrimidinic site) lyase levels,clinical measures
ebi-a-GCST90010285,Amyloid-like protein 1 levels,clinical measures
ebi-a-GCST90010286,Arginase-1 levels,clinical measures
ebi-a-GCST90010287,Large proline-rich protein BAG6 levels,clinical measures
ebi-a-GCST90010288,Carbonic anhydrase 13 levels,clinical measures
ebi-a-GCST90010289,Soluble calcium-activated nucleotidase 1 levels,clinical measures
ebi-a-GCST90010290,Coiled-coil domain-containing protein 80 levels,clinical measures
ebi-a-GCST90010291,Sialomucin core protein 24 levels,clinical measures
ebi-a-GCST90010292,T-cell surface glycoprotein CD1c levels,clinical measures
ebi-a-GCST90010293,CD2-associated protein levels,clinical measures
ebi-a-GCST90010294,B-cell antigen receptor complex-associated protein beta chain levels,clinical measures
ebi-a-GCST90010295,Cadherin-2 levels,clinical measures
ebi-a-GCST90010296,Cadherin-related family member 5 levels,clinical measures
ebi-a-GCST90010297,Chordin-like protein 2 levels,clinical measures
ebi-a-GCST90010298,C-type lectin domain family 5 member A levels,clinical measures
ebi-a-GCST90010299,CXADR-like membrane protein levels,clinical measures
ebi-a-GCST90010300,Calsyntenin-2 levels,clinical measures
ebi-a-GCST90010301,Clusterin-like protein 1 levels,clinical measures
ebi-a-GCST90010302,Catechol O-methyltransferase levels,clinical measures
ebi-a-GCST90010303,Crk-like protein levels,clinical measures
ebi-a-GCST90010304,Pro-cathepsin H levels,clinical measures
ebi-a-GCST90010305,Cathepsin O levels,clinical measures
ebi-a-GCST90010306,Aromatic-L-amino-acid decarboxylase levels,clinical measures
ebi-a-GCST90010307,Dipeptidyl peptidase 2 levels,clinical measures
ebi-a-GCST90010308,Gamma-enolase levels,clinical measures
ebi-a-GCST90010309,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7 levels,clinical measures
ebi-a-GCST90010310,Ectonucleoside triphosphate diphosphohydrolase 5 levels,clinical measures
ebi-a-GCST90010311,Protein FAM3C levels,clinical measures
ebi-a-GCST90010312,"Fructose-1,6-bisphosphatase 1 levels",clinical measures
ebi-a-GCST90010313,Fc receptor-like protein 1 levels,clinical measures
ebi-a-GCST90010314,Peptidyl-prolyl cis-trans isomerase FKBP4 levels,clinical measures
ebi-a-GCST90010316,Glutaredoxin-1 levels,clinical measures
ebi-a-GCST90010317,GRB2-related adapter protein 2 levels,clinical measures
ebi-a-GCST90010318,Insulin-like growth factor-binding protein-like 1 levels,clinical measures
ebi-a-GCST90010319,Integrin beta-7 levels,clinical measures
ebi-a-GCST90010320,Kallikrein-10 levels,clinical measures
ebi-a-GCST90010321,Kynurenine-oxoglutarate transaminase 1 levels,clinical measures
ebi-a-GCST90010322,Leukocyte immunoglobulin-like receptor subfamily A member 5 levels,clinical measures
ebi-a-GCST90010323,Leucine-rich repeats and immunoglobulin-like domains protein 1 levels,clinical measures
ebi-a-GCST90010324,Low-density lipoprotein receptor-related protein 11 levels,clinical measures
ebi-a-GCST90010325,Multiple coagulation factor deficiency protein 2 levels,clinical measures
ebi-a-GCST90010326,Meprin A subunit beta levels,clinical measures
ebi-a-GCST90010327,Meteorin-like protein levels,clinical measures
ebi-a-GCST90010328,NAD kinase levels,clinical measures
ebi-a-GCST90010329,Nectin-2 levels,clinical measures
ebi-a-GCST90010330,Nodal modulator 1 levels,clinical measures
ebi-a-GCST90010331,Neural proliferation differentiation and control protein 1 levels,clinical measures
ebi-a-GCST90010332,Neuronal pentraxin receptor levels,clinical measures
ebi-a-GCST90010333,Phosphoprotein associated with glycosphingolipid-enriched microdomains 1 levels,clinical measures
ebi-a-GCST90010334,Paired immunoglobulin-like type 2 receptor beta levels,clinical measures
ebi-a-GCST90010335,Protein phosphatase inhibitor 2 levels,clinical measures
ebi-a-GCST90010336,Dihydropteridine reductase levels,clinical measures
ebi-a-GCST90010337,Regenerating islet-derived protein 4 levels,clinical measures
ebi-a-GCST90010339,Inactive tyrosine-protein kinase transmembrane receptor ROR1 levels,clinical measures
ebi-a-GCST90010340,Reticulon-4 receptor levels,clinical measures
ebi-a-GCST90010342,Syndecan-4 levels,clinical measures
ebi-a-GCST90010343,Semaphorin-3F levels,clinical measures
ebi-a-GCST90010344,Serpin B6 levels,clinical measures
ebi-a-GCST90010345,Serpin B8 levels,clinical measures
ebi-a-GCST90010346,Sialic acid-binding Ig-like lectin 7 levels,clinical measures
ebi-a-GCST90010347,Synaptosomal-associated protein 23 levels,clinical measures
ebi-a-GCST90010348,Sclerostin levels,clinical measures
ebi-a-GCST90010349,Scavenger receptor cysteine-rich domain-containing group B protein levels,clinical measures
ebi-a-GCST90010350,Sulfatase-modifying factor 2 levels,clinical measures
ebi-a-GCST90010351,Trefoil factor 2 levels,clinical measures
ebi-a-GCST90010352,Thimet oligopeptidase levels,clinical measures
ebi-a-GCST90010353,Thyrotropin subunit beta levels,clinical measures
ebi-a-GCST90010354,Thioredoxin domain-containing protein 5 levels,clinical measures
ebi-a-GCST90010355,Thymidine phosphorylase levels,clinical measures
ebi-a-GCST90010356,Tyrosine-protein kinase receptor TYRO3 levels,clinical measures
ebi-a-GCST90010357,Ubiquitin carboxyl-terminal hydrolase 8 levels,clinical measures
ebi-a-GCST90010358,Versican core protein levels,clinical measures
ebi-a-GCST90011785,Ara-C drug response (AUC),operation / treatment
ebi-a-GCST90011786,Capecitabine drug response (AUC),operation / treatment
ebi-a-GCST90011787,Carboplatin drug response (IC50),operation / treatment
ebi-a-GCST90011788,Cisplatin drug response (IC50),operation / treatment
ebi-a-GCST90011789,Daunorubicin drug response (IC50),operation / treatment
ebi-a-GCST90011790,Etoposide drug response (IC50),operation / treatment
ebi-a-GCST90011791,Paclitaxel drug response (AUC),operation / treatment
ebi-a-GCST90011792,Pemetrexed drug response (AUC),operation / treatment
ebi-a-GCST90011994,Interleukin-8 levels,clinical measures
ebi-a-GCST90011995,Vascular endothelial growth factor levels,clinical measures
ebi-a-GCST90011996,Adrenomedullin levels,clinical measures
ebi-a-GCST90011997,CD40 ligand levels,clinical measures
ebi-a-GCST90011998,Growth differentiation factor-15 levels,clinical measures
ebi-a-GCST90011999,Placenta growth factor levels,clinical measures
ebi-a-GCST90012000,E-selectin levels,clinical measures
ebi-a-GCST90012001,Epidermal growth factor levels,clinical measures
ebi-a-GCST90012002,Osteoprotegerin levels,clinical measures
ebi-a-GCST90012003,Proto-oncogene tyrosine-protein kinase Src levels,clinical measures
ebi-a-GCST90012004,Interleukin-1-receptor antagonist levels,clinical measures
ebi-a-GCST90012005,Interleukin-6 levels,clinical measures
ebi-a-GCST90012006,Cystatin-B levels,clinical measures
ebi-a-GCST90012007,Monocyte chemoattractant protein-1 levels,clinical measures
ebi-a-GCST90012008,Kallikrein-6 levels,clinical measures
ebi-a-GCST90012009,Galectin-3 levels,clinical measures
ebi-a-GCST90012010,Proteinase-activated receptor 1 levels,clinical measures
ebi-a-GCST90012011,TNF-related apoptosis-inducing ligand levels,clinical measures
ebi-a-GCST90012012,kallikrein-11 levels,clinical measures
ebi-a-GCST90012013,Angiopoietin-1 receptor levels,clinical measures
ebi-a-GCST90012014,Tissue factor levels,clinical measures
ebi-a-GCST90012015,Tumor necrosis factor receptor 1 levels,clinical measures
ebi-a-GCST90012016,Platelet-derived growth factor subunit B levels,clinical measures
ebi-a-GCST90012017,Interleukin-27 levels,clinical measures
ebi-a-GCST90012018,Macrophage colony-stimulating factor 1 levels,clinical measures
ebi-a-GCST90012019,C-X-C motif chemokine 1 levels,clinical measures
ebi-a-GCST90012020,Lectin-like oxidized LDL receptor 1 levels,clinical measures
ebi-a-GCST90012021,TNF-related apoptosis-inducing ligand receptor 2 levels,clinical measures
ebi-a-GCST90012022,Fibroblast growth factor 23 levels,clinical measures
ebi-a-GCST90012023,Stem cell factor levels,clinical measures
ebi-a-GCST90012024,Interleukin-18 levels,clinical measures
ebi-a-GCST90012025,Interleukin-6 receptor subunit alpha levels,clinical measures
ebi-a-GCST90012026,Tumor necrosis factor receptor 2 levels,clinical measures
ebi-a-GCST90012027,Matrix metalloproteinase-3 levels,clinical measures
ebi-a-GCST90012028,Heat shock 27 kDa protein levels,clinical measures
ebi-a-GCST90012029,Tumor necrosis factor ligand superfamily member 14 levels,clinical measures
ebi-a-GCST90012030,Prolactin levels,clinical measures
ebi-a-GCST90012031,Myeloperoxidase levels,clinical measures
ebi-a-GCST90012032,Growth hormone levels,clinical measures
ebi-a-GCST90012033,Matrix metalloproteinase-1 levels,clinical measures
ebi-a-GCST90012034,Resistin levels,clinical measures
ebi-a-GCST90012035,Tumor necrosis factor receptor superfamily member 6 levels,clinical measures
ebi-a-GCST90012036,Pappalysin-1 levels,clinical measures
ebi-a-GCST90012037,Pentraxin-related protein PTX3 levels,clinical measures
ebi-a-GCST90012038,Renin levels,clinical measures
ebi-a-GCST90012039,Chitinase-3-like protein 1 levels,clinical measures
ebi-a-GCST90012040,ST2 protein levels,clinical measures
ebi-a-GCST90012041,Kidney injury molecule 1 levels,clinical measures
ebi-a-GCST90012042,beta-nerve growth factor levels,clinical measures
ebi-a-GCST90012043,Membrane-bound aminopeptidase P levels,clinical measures
ebi-a-GCST90012044,TNF-related activation-induced cytokine levels,clinical measures
ebi-a-GCST90012045,Hepatocyte growth factor levels,clinical measures
ebi-a-GCST90012046,P-selectin glycoprotein ligand 1 levels,clinical measures
ebi-a-GCST90012047,Myoglobin levels,clinical measures
ebi-a-GCST90012048,Thrombomodulin levels,clinical measures
ebi-a-GCST90012049,Pro-interleukin-16 levels,clinical measures
ebi-a-GCST90012050,Matrix metalloproteinase-10 levels,clinical measures
ebi-a-GCST90012051,Urokinase plasminogen activator surface receptor levels,clinical measures
ebi-a-GCST90012052,C-C motif chemokine 4 levels,clinical measures
ebi-a-GCST90012053,Cathepsin D levels,clinical measures
ebi-a-GCST90012054,Receptor for advanced glycosylation end products levels,clinical measures
ebi-a-GCST90012055,C-C motif chemokine 3 levels,clinical measures
ebi-a-GCST90012056,Matrix metalloproteinase-7 levels,clinical measures
ebi-a-GCST90012057,C-X-C motif chemokine 6 levels,clinical measures
ebi-a-GCST90012058,Melusin levels,clinical measures
ebi-a-GCST90012059,C-X-C motif chemokine 16 levels,clinical measures
ebi-a-GCST90012060,Dickkopf-related protein 1 levels,clinical measures
ebi-a-GCST90012061,SIR2-like protein 2 levels,clinical measures
ebi-a-GCST90012062,Galanin peptide levels,clinical measures
ebi-a-GCST90012063,Agouti-related protein levels,clinical measures
ebi-a-GCST90012064,Protein S100-A12 levels,clinical measures
ebi-a-GCST90012065,Tumor necrosis factor receptor superfamily member 5 levels,clinical measures
ebi-a-GCST90012066,Tissue-type plasminogen activator levels,clinical measures
ebi-a-GCST90012067,Proheparin-binding EGF-like growth factor levels,clinical measures
ebi-a-GCST90012068,Endothelial cell-specific molecule 1 levels,clinical measures
ebi-a-GCST90012069,vascular endothelial growth factor D levels,clinical measures
ebi-a-GCST90012070,Matrix metalloproteinase-12 levels,clinical measures
ebi-a-GCST90012071,Spondin-1 levels,clinical measures
ebi-a-GCST90012072,Caspase 8 levels,clinical measures
ebi-a-GCST90012073,Cathepsin L1 levels,clinical measures
ebi-a-GCST90012074,CX3CL1 levels,clinical measures
ebi-a-GCST90012075,Fatty acid-binding protein adipocyte levels,clinical measures
ebi-a-GCST90012077,C-C motif chemokine 20 levels,clinical measures
ebi-a-GCST90012078,Ovarian cancer-related tumor marker CA 125 levels,clinical measures
ebi-a-GCST90012079,NF-kappa-B essential modulator levels,clinical measures
ebi-a-GCST90012080,Follistatin levels,clinical measures
ebi-a-GCST90012081,Platelet endothelial cell adhesion molecule levels,clinical measures
ebi-a-GCST90012082,N-terminal prohormone brain natriuretic peptide levels,clinical measures
ebi-a-GCST90012083,Eosinophil cationic protein levels,clinical measures
ebi-a-GCST90012104,Bioavailable testosterone levels,clinical measures
ebi-a-GCST90012105,Estradiol levels,clinical measures
ebi-a-GCST90012110,Sex hormone-binding globulin levels adjusted for BMI,clinical measures
ebi-a-GCST90012114,Total testosterone levels,clinical measures
ebi-a-GCST90012790,Percentage of invited food questionnaires completed,social / behavioural
ebi-a-GCST90012791,Acceptance of an invitation to wear a physical activity monitor,social / behavioural
ebi-a-GCST90012792,Acceptance of an invitation to participate in a mental health questionnaire,social / behavioural
ebi-a-GCST90012793,Completion of the aide-memoire,social / behavioural
ebi-a-GCST90012794,Participation in an health questionnaire (not invited vs invited),social / behavioural
ebi-a-GCST90012857,Falling risk,physiological
ebi-a-GCST90012877,Alzheimer's disease or family history of Alzheimer's disease,health trait / disease outcome
ebi-a-GCST90012878,Family history of Alzheimer's disease,health trait / disease outcome
ebi-a-GCST90013405,Liver enzyme levels (alanine transaminase),clinical measures
ebi-a-GCST90013410,Basal cell carcinoma,health trait / disease outcome
